iter	Passed	Remaining
0	823	163886
1	1470	145590
2	1895	124449
3	2890	141643
4	3660	142743
5	4358	140938
6	4955	136636
7	5532	132786
8	6029	127950
9	6679	126918
10	7251	124598
11	7834	122733
12	8333	119880
13	9207	122325
14	10361	127789
15	11100	127655
16	11936	128490
17	12658	127989
18	13208	125828
19	13842	124585
20	14593	124393
21	15437	124904
22	16091	123831
23	16932	124174
24	17482	122375
25	18063	120889
26	18780	120336
27	19523	119927
28	20228	119276
29	20772	117713
30	21533	117391
31	22268	116909
32	23006	116426
33	23504	114755
34	24136	113786
35	24755	112773
36	25404	111917
37	26126	111381
38	26927	111163

39	29043	116172
40	31584	12248641	31097	116984
42	31939	116617
43	32600	115582
444	34581	119115445	35426	118602446	36286	118123447	36823	116609448	37897	11678749	36545	109635
50	36124	105540
51	36686	104415
52	37368	103645
3	37817	102247
54	38551	101636
794	99758
56	39584	99308
57	40227	98488
58	41068	98145
59	41910	97791
952	93318
61	41831	93109
62	42522	92470
