iter	Passed	Remaining
0	178	178131
1	288	143998
2	394	131221
3	534	133045
4	632	125810
5	727	120497
6	816	115771
7	897	111348
8	987	108782
9	1073	106231
10	1172	105436
11	1265	104179
12	1344	102094
13	1435	101119
14	1518	99733
15	1608	98947
16	1699	98294
17	1778	97052
18	1869	96511
19	1948	95490
20	2028	94577
21	2109	93767
22	2190	93028
23	2282	92807
24	2366	92310
25	2446	91631
26	2527	91066
27	2617	90864
28	2702	90493
29	2782	89952
30	2889	90331
31	3000	90774
32	3100	90842
33	3210	91222
34	3322	91619
35	3451	92420
36	3547	92339
37	3653	92500
38	3761	92686
39	3857	92585
40	3949	92383
41	4055	92503
42	4146	92278
43	4244	92217
44	4334	91991
45	4441	92107
46	4535	91959
47	4629	91827
48	4718	91578
49	4891	92944
50	4999	93029
51	5090	92801
52	5179	92546
53	5266	92265
54	5354	92005
55	5447	91824
56	5547	91770
57	5671	92119
58	5782	92223
59	5888	92254
60	5988	92191
61	6080	91989
62	6167	91723
63	6253	91455
64	6376	91719
65	6504	92049
66	6624	92245
67	6740	92379
68	6839	92283
69	6919	91933
70	6994	91516
71	7079	91250
72	7162	90950
73	7247	90688
74	7362	90807
75	7474	90876
76	7577	90836
77	7662	90572
78	7763	90513
79	7858	90371
80	7964	90364
81	8073	90387
82	8175	90324
83	8303	90542
84	8418	90623
85	8536	90721
86	8645	90724
87	8734	90522
88	8816	90250
89	8899	89979
90	8967	89574
91	9044	89267
92	9110	88847
93	9186	88540
94	9270	88313
95	9360	88143
96	9440	87887
97	9519	87617
98	9613	87495
99	9716	87445
100	9824	87448
101	9934	87466
102	10024	87297
103	10139	87355
104	10275	87590
105	10372	87478
106	10465	87346
107	10533	87001
108	10606	86702
109	10690	86494
110	10785	86377
111	10919	86573
112	11024	86540
113	11108	86332
114	11193	86138
115	11273	85911
116	11362	85754
117	11457	85640
118	11549	85501
119	11645	85402
120	11726	85189
121	11810	84996
122	11898	84833
123	11979	84627
124	12052	84367
125	12132	84153
126	12219	84000
127	12298	83783
128	12387	83638
129	12490	83591
130	12579	83445
131	12670	83320
132	12762	83198
133	12836	82957
134	12955	83011
135	13047	82887
136	13132	82722
137	13206	82489
138	13285	82291
139	13361	82074
140	13441	81885
141	13536	81793
142	13623	81645
143	13696	81416
144	13780	81256
145	13859	81068
146	13939	80886
147	14022	80723
148	14100	80533
149	14181	80359
150	14253	80138
151	14326	79925
152	14401	79723
153	14486	79581
154	14559	79370
155	14632	79167
156	14713	79003
157	14826	79013
158	14968	79171
159	15075	79147
160	15204	79233
161	15308	79188
162	15412	79143
163	15507	79049
164	15585	78873
165	15664	78699
166	15744	78533
167	15829	78391
168	15923	78300
169	16004	78137
170	16095	78030
171	16182	77903
172	16278	77819
173	16354	77638
174	16420	77411
175	16501	77255
176	16581	77101
177	16658	76930
178	16733	76749
179	16825	76649
180	16964	76759
181	17050	76634
182	17133	76490
183	17215	76347
184	17306	76240
185	17388	76098
186	17458	75902
187	17530	75717
188	17615	75587
189	17714	75519
190	17789	75348
191	17865	75184
192	17943	75026
193	18010	74827
194	18088	74671
195	18176	74558
196	18252	74400
197	18335	74267
198	18410	74104
199	18497	73991
200	18574	73834
201	18647	73667
202	18722	73505
203	18796	73341
204	18875	73201
205	18953	73053
206	19033	72917
207	19110	72765
208	19187	72617
209	19278	72525
210	19375	72449
211	19475	72390
212	19583	72358
213	19684	72298
214	19764	72164
215	19840	72013
216	19921	71882
217	20001	71747
218	20075	71592
219	20148	71434
220	20221	71278
221	20314	71193
222	20392	71054
223	20474	70929
224	20555	70801
225	20626	70641
226	20705	70508
227	20789	70393
228	20869	70262
229	20940	70103
230	21019	69974
231	21089	69813
232	21170	69690
233	21248	69556
234	21342	69476
235	21414	69325
236	21484	69166
237	21561	69033
238	21643	68916
239	21720	68783
240	21795	68643
241	21875	68518
242	21974	68454
243	22044	68301
244	22122	68172
245	22203	68053
246	22281	67925
247	22362	67810
248	22444	67695
249	22520	67562
250	22600	67440
251	22670	67292
252	22747	67164
253	22844	67094
254	22916	66952
255	22993	66824
256	23070	66696
257	23170	66637
258	23271	66579
259	23390	66573
260	23471	66458
261	23556	66354
262	23640	66247
263	23715	66116
264	23813	66049
265	23892	65928
266	23978	65828
267	24064	65727
268	24141	65605
269	24228	65507
270	24314	65407
271	24394	65289
272	24472	65170
273	24561	65079
274	24634	64945
275	24713	64827
276	24806	64748
277	24896	64658
278	25005	64619
279	25079	64490
280	25158	64374
281	25231	64242
282	25314	64135
283	25404	64047
284	25490	63949
285	25557	63805
286	25647	63715
287	25718	63581
288	25794	63460
289	25871	63339
290	25950	63226
291	26028	63109
292	26113	63012
293	26200	62916
294	26279	62803
295	26356	62685
296	26443	62591
297	26520	62473
298	26600	62364
299	26689	62275
300	26764	62153
301	26867	62098
302	26956	62008
303	27046	61922
304	27140	61843
305	27255	61815
306	27367	61777
307	27450	61675
308	27521	61545
309	27593	61418
310	27674	61311
311	27761	61217
312	27839	61104
313	27921	61000
314	27992	60873
315	28070	60759
316	28145	60642
317	28218	60519
318	28298	60410
319	28361	60267
320	28437	60151
321	28520	60053
322	28610	59967
323	28686	59851
324	28767	59748
325	28842	59632
326	28919	59518
327	28995	59406
328	29077	59304
329	29153	59191
330	29249	59118
331	29353	59061
332	29450	58989
333	29565	58954
334	29641	58840
335	29714	58720
336	29795	58618
337	29872	58506
338	29950	58398
339	30024	58283
340	30099	58168
341	30176	58059
342	30258	57957
343	30331	57840
344	30411	57738
345	30493	57638
346	30576	57540
347	30647	57420
348	30727	57317
349	30813	57225
350	30880	57098
351	30968	57011
352	31039	56891
353	31109	56770
354	31192	56673
355	31276	56578
356	31366	56494
357	31466	56428
358	31561	56352
359	31667	56298
360	31766	56228
361	31856	56145
362	31957	56079
363	32053	56005
364	32142	55918
365	32237	55843
366	32313	55734
367	32391	55628
368	32465	55517
369	32541	55408
370	32612	55291
371	32683	55175
372	32754	55059
373	32829	54949
374	32909	54848
375	32981	54734
376	33055	54625
377	33139	54531
378	33217	54427
379	33298	54329
380	33381	54233
381	33519	54228
382	33604	54136
383	33676	54022
384	33753	53918
385	33821	53798
386	33898	53694
387	33968	53579
388	34033	53456
389	34111	53353
390	34189	53251
391	34272	53158
392	34356	53064
393	34427	52952
394	34507	52853
395	34594	52765
396	34678	52672
397	34761	52578
398	34841	52480
399	34914	52371
400	34994	52273
401	35064	52160
402	35138	52054
403	35219	51957
404	35295	51853
405	35372	51751
406	35461	51667
407	35544	51574
408	35613	51461
409	35684	51350
410	35774	51267
411	35851	51166
412	35936	51077
413	36003	50962
414	36080	50860
415	36168	50774
416	36249	50679
417	36332	50587
418	36406	50482
419	36489	50390
420	36563	50286
421	36641	50186
422	36715	50082
423	36797	49988
424	36870	49884
425	36949	49785
426	37018	49675
427	37094	49574
428	37163	49465
429	37266	49400
430	37361	49323
431	37452	49243
432	37542	49161
433	37629	49074
434	37722	48995
435	37818	48920
436	37898	48826
437	37971	48721
438	38049	48623
439	38134	48534
440	38221	48448
441	38312	48366
442	38385	48263
443	38458	48159
444	38542	48070
445	38623	47975
446	38700	47878
447	38767	47767
448	38853	47679
449	38916	47564
450	38985	47456
451	39056	47352
452	39129	47248
453	39207	47153
454	39297	47071
455	39378	46977
456	39455	46880
457	39530	46781
458	39611	46688
459	39677	46577
460	39760	46487
461	39835	46387
462	39939	46323
463	40036	46249
464	40129	46170
465	40232	46103
466	40315	46013
467	40385	45907
468	40460	45808
469	40535	45710
470	40624	45627
471	40709	45539
472	40783	45439
473	40856	45338
474	40929	45238
475	41010	45146
476	41089	45052
477	41159	44947
478	41235	44851
479	41323	44767
480	41412	44684
481	41479	44577
482	41554	44480
483	41631	44384
484	41705	44285
485	41786	44194
486	41858	44093
487	41948	44011
488	42013	43903
489	42085	43802
490	42169	43714
491	42253	43627
492	42343	43546
493	42426	43456
494	42506	43365
495	42585	43272
496	42662	43177
497	42734	43077
498	42822	42993
499	42899	42899
500	42989	42817
501	43066	42723
502	43144	42630
503	43242	42556
504	43360	42501
505	43450	42419
506	43561	42358
507	43703	42326
508	43803	42254
509	43948	42225
510	44040	42144
511	44131	42063
512	44223	41982
513	44319	41904
514	44411	41824
515	44507	41746
516	44602	41668
517	44713	41605
518	44808	41527
519	44896	41442
520	44988	41362
521	45094	41293
522	45192	41217
523	45274	41126
524	45365	41045
525	45464	40970
526	45567	40898
527	45667	40823
528	45748	40732
529	45853	40662
530	45946	40581
531	46036	40498
532	46128	40416
533	46203	40319
534	46303	40245
535	46403	40169
536	46490	40084
537	46600	40017
538	46693	39936
539	46781	39850
540	46869	39765
541	46980	39699
542	47081	39624
543	47154	39526
544	47241	39440
545	47329	39354
546	47406	39260
547	47475	39158
548	47558	39069
549	47629	38969
550	47708	38876
551	47785	38782
552	47864	38689
553	47946	38599
554	48049	38526
555	48142	38445
556	48247	38372
557	48343	38293
558	48451	38223
559	48564	38157
560	48654	38073
561	48742	37987
562	48834	37904
563	48939	37832
564	49043	37759
565	49135	37676
566	49237	37601
567	49346	37531
568	49443	37451
569	49544	37375
570	49642	37297
571	49742	37219
572	49831	37134
573	49901	37035
574	49972	36936
575	50047	36840
576	50122	36745
577	50204	36654
578	50292	36568
579	50378	36481
580	50458	36389
581	50542	36300
582	50626	36211
583	50706	36119
584	50836	36063
585	50940	35988
586	51024	35899
587	51112	35813
588	51194	35722
589	51266	35626
590	51345	35533
591	51428	35443
592	51512	35355
593	51590	35261
594	51668	35169
595	51754	35082
596	51835	34991
597	51919	34902
598	51997	34809
599	52073	34715
600	52164	34631
601	52250	34544
602	52333	34455
603	52408	34360
604	52482	34265
605	52562	34174
606	52638	34080
607	52722	33991
608	52821	33913
609	52903	33823
610	52984	33732
611	53077	33650
612	53168	33566
613	53250	33476
614	53327	33383
615	53406	33292
616	53491	33204
617	53560	33107
618	53642	33017
619	53724	32927
620	53803	32836
621	53896	32753
622	53968	32658
623	54048	32567
624	54120	32472
625	54201	32382
626	54275	32288
627	54340	32189
628	54420	32098
629	54500	32007
630	54570	31912
631	54646	31819
632	54733	31733
633	54814	31643
634	54887	31549
635	54956	31452
636	55039	31364
637	55114	31271
638	55195	31182
639	55280	31095
640	55369	31010
641	55442	30916
642	55525	30828
643	55601	30736
644	55671	30641
645	55749	30550
646	55830	30461
647	55903	30367
648	55982	30277
649	56061	30187
650	56139	30096
651	56229	30012
652	56304	29919
653	56379	29827
654	56452	29734
655	56526	29642
656	56598	29548
657	56685	29462
658	56758	29369
659	56834	29278
660	56910	29186
661	56985	29095
662	57082	29014
663	57173	28931
664	57275	28852
665	57371	28771
666	57448	28681
667	57526	28591
668	57605	28501
669	57682	28410
670	57772	28326
671	57839	28231
672	57926	28145
673	58006	28056
674	58090	27969
675	58162	27876
676	58244	27788
677	58325	27700
678	58407	27612
679	58494	27526
680	58578	27439
681	58645	27345
682	58729	27258
683	58827	27177
684	58916	27093
685	59001	27006
686	59070	26912
687	59146	26822
688	59225	26732
689	59315	26648
690	59397	26561
691	59479	26473
692	59596	26401
693	59707	26326
694	59810	26247
695	59894	26161
696	59962	26067
697	60041	25977
698	60117	25887
699	60207	25803
700	60301	25720
701	60387	25634
702	60464	25544
703	60554	25460
704	60639	25373
705	60711	25282
706	60803	25198
707	60890	25113
708	60979	25028
709	61075	24946
710	61172	24864
711	61263	24780
712	61339	24690
713	61435	24608
714	61528	24525
715	61607	24436
716	61695	24351
717	61793	24269
718	61869	24179
719	61940	24087
720	62018	23998
721	62104	23912
722	62178	23822
723	62274	23739
724	62354	23651
725	62427	23560
726	62505	23471
727	62580	23381
728	62648	23288
729	62724	23199
730	62808	23112
731	62896	23027
732	62970	22937
733	63060	22852
734	63159	22771
735	63266	22693
736	63375	22615
737	63470	22532
738	63561	22448
739	63635	22358
740	63711	22268
741	63805	22185
742	63908	22105
743	64006	22023
744	64095	21938
745	64191	21856
746	64299	21777
747	64380	21689
748	64472	21605
749	64567	21522
750	64654	21436
751	64743	21351
752	64852	21273
753	64943	21188
754	65023	21100
755	65108	21013
756	65188	20925
757	65263	20836
758	65340	20747
759	65413	20656
760	65493	20568
761	65556	20475
762	65637	20387
763	65711	20298
764	65815	20217
765	65926	20139
766	66018	20055
767	66110	19971
768	66216	19890
769	66301	19804
770	66372	19713
771	66454	19626
772	66525	19535
773	66605	19448
774	66678	19358
775	66760	19271
776	66835	19181
777	66912	19093
778	66987	19004
779	67053	18912
780	67125	18822
